,Directory,ExperimentID,ExperimentID_full,ID,Setup,c0,cf,n10,n1f,n20,n2f,path,v0,vf,dropID,Medium,ExperimentID_Init,SteadyState,Comments,mind,dev_cf
82,G:\BackUp_Data\MIS2\20150219\transformed,7,,20,MIS2,0.099696574,0.101390737,0,0,9,9,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_11_concentration.csv,1472.653084,1448.039466,11,2%,E2,,,0.01,-35.11708653
83,G:\BackUp_Data\MIS2\20150219\transformed,7,,21,MIS2,0.199720107,0.191135692,9,9,0,0,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_12_concentration.csv,1594.423137,1666.026389,12,2%,E2,,,0.01,22.31334866
84,G:\BackUp_Data\MIS2\20150219\transformed,7,,22,MIS2,0.099227838,0.103897773,0,0,0,0,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_13_concentration.csv,1442.662782,1377.772335,13,2%,E2,,,0.01,-33.51276049
85,G:\BackUp_Data\MIS2\20150219\transformed,7,,23,MIS2,0.101215681,0.105677632,0,0,0,0,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_14_concentration.csv,1481.442646,1418.789801,14,2%,E2,,,0.01,-32.37377639
86,G:\BackUp_Data\MIS2\20150219\transformed,7,,24,MIS2,0.200857632,0.19670539,0,0,,,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_15_concentration.csv,1596.444972,1630.008996,15,2%,E2,,,0.01,25.87756215
87,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,41,MIS2,0.1,0.102082425,,,46,46,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_01_concentration.csv,1309.558832,1289.420418,1,4%,E4,N,,46.01,-25.31448276
88,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,42,MIS2,0.2,0.143812095,46,46,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_02_concentration.csv,812.0844244,1137.822623,2,4%,E4,Y,,0.01,5.215767556
89,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,43,MIS2,0.1,0.129189636,0,0,42,42,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_03_concentration.csv,1332.4759,1034.874887,3,4%,E4,NY,,0.01,-5.482312096
90,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,44,MIS2,0.2,0.148418502,42,42,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_04_concentration.csv,760.0036981,1015.090281,4,4%,E4,NY,,0.01,8.585905848
91,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,45,MIS2,0.1,0.137259713,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_05_concentration.csv,1354.952771,996.9365142,5,4%,E4,NY,,0.01,0.421915541
92,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,46,MIS2,0.2,0.1437873,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_06_concentration.csv,824.8591643,1122.460178,6,4%,E4,Y,,0.01,5.197627045
93,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,47,MIS2,0.1,0.136524396,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_07_concentration.csv,1189.847964,894.4845517,7,4%,E4,Y,,0.01,-0.116056892
94,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,48,MIS2,0.2,0.14596195,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_08_concentration.csv,866.0400895,1134.552282,8,4%,E4,Y,,0.01,6.788643912
95,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,49,MIS2,0.1,0.136583359,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_09_concentration.csv,1204.46732,919.546131,9,4%,E4,Y,,0.01,-0.072918397
96,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,50,MIS2,0.2,0.145896282,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_10_concentration.csv,854.6556845,1091.841455,10,4%,E4,Y,,0.01,6.740599907
97,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,51,MIS2,0.1,0.130469658,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_11_concentration.csv,1243.44448,1006.25871,11,4%,E4,Y,,0.01,-4.545822733
98,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,52,MIS2,0.2,0.170479821,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_12_concentration.csv,949.8243129,1096.013603,12,4%,E4,Y,,0.01,24.72640232
99,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,53,MIS2,0.1,0.131685411,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_13_concentration.csv,1232.69558,1015.869658,13,4%,E4,Y,,0.01,-3.656353839
100,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,54,MIS2,0.2,0.149280677,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_14_concentration.csv,1004.609482,1211.038978,14,4%,E4,Y,,0.01,9.216690097
101,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,55,MIS2,0.1,0.129139782,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_15_concentration.csv,1148.78146,967.5357302,15,4%,E4,Y,,0.01,-5.518786266
102,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,56,MIS2,0.2,0.144810995,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_16_concentration.csv,1058.549918,1313.636501,16,4%,E4,Y,,0.01,5.946582514
103,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,57,MIS2,0.1,0.129482691,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_17_concentration.csv,1219.259699,1024.58836,17,4%,E4,Y,,0.01,-5.267907273
104,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,58,MIS2,0.2,0.148324483,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_18_concentration.csv,987.2766104,1186.423153,18,4%,E4,Y,,0.01,8.517119692
105,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,59,MIS2,0.1,0.126072882,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_19_concentration.csv,1165.954795,1010.028584,19,4%,E4,Y,,0.01,-7.762590847
106,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,60,MIS2,0.2,0.141917302,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_20_concentration.csv,949.8729149,1155.732263,20,4%,E4,Y,,0.01,3.829499594
107,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,61,MIS2,0.1,0.130798063,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_21_concentration.csv,1177.737552,980.8286105,21,4%,E4,Y,,0.01,-4.305555152
108,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,62,MIS2,0.1,0.131520677,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_22_concentration.csv,1206.065794,986.7808367,22,4%,E4,Y,,0.01,-3.776876486
109,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,63,MIS2,0.2,0.142955109,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_23_concentration.csv,1025.929629,1310.105033,23,4%,E4,Y,,0.01,4.588779682
110,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,64,MIS2,0.1,0.130974978,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_24_concentration.csv,1162.751718,959.5199054,24,4%,E4,Y,,0.01,-4.176120646
111,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,65,MIS2,0.2,0.141404687,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_25_concentration.csv,1030.620354,1337.425954,25,4%,E4,Y,,0.01,3.454460341
112,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,66,MIS2,0.1,0.122517446,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_26_concentration.csv,1280.133121,1112.432898,26,4%,E4,Y,,0.01,-10.36381801
113,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,67,MIS2,0.2,0.133608555,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_27_concentration.csv,814.5156715,1108.732658,27,4%,E4,Y,,0.01,-2.249343726
114,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,68,MIS2,0.1,0.122165855,0,0,,,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_28_concentration.csv,1344.284402,1120.524241,28,4%,E4,Y,,0.01,-10.62104893
115,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,115,MIS3,0.1,0.100657322,,,10,10,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_01_concentration.csv,1385.151239,1362.775223,1,4%,E7,N,,10.01,-27.44334625
116,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,116,MIS3,0.2,0.181690855,10,10,20.51282051,20.51282051,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_02_concentration.csv,781.5283337,855.3691866,2,4%,E7,N,,10.01,30.96792358
117,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,117,MIS3,0.1,0.107936923,20.51282051,20.51282051,8.547008547,8.547008547,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_03_concentration.csv,1381.980118,1296.951257,3,4%,E7,N,,8.557008547,-22.1960033
118,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,118,MIS3,0.2,0.149621165,8.547008547,8.547008547,0,0,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_04_concentration.csv,708.7636185,959.3749983,4,4%,E7,NY,,0.01,7.85118108
119,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,119,MIS3,0.1,0.135020939,0,0,0,0,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_05_concentration.csv,1291.518016,964.8281816,5,4%,E7,NY,,0.01,-2.673076087
120,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,120,MIS3,0.2,0.128396726,0,0,0,0,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_06_concentration.csv,709.0350435,1031.249675,6,4%,E7,Y,,0.01,-7.447996773
121,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,121,MIS3,0.1,0.131888798,0,0,0,0,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_07_concentration.csv,1320.477377,1038.539574,7,4%,E7,Y,,0.01,-4.930812191
122,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,122,MIS3,0.2,0.128120187,0,0,0,0,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_08_concentration.csv,823.7298203,1226.498109,8,4%,E7,Y,,0.01,-7.64733393
123,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,123,MIS3,0.1,0.13119172,0,0,0,0,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_09_concentration.csv,1445.364528,1111.961888,9,4%,E7,Y,,0.01,-5.433285792
124,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,124,MIS3,0.2,0.14332027,0,0,0,0,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_10_concentration.csv,814.7513805,1136.966012,10,4%,E7,Y,,0.01,3.309317183
125,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,125,MIS3,0.1,0.136094799,0,0,0.56980057,0.56980057,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_11_concentration.csv,1348.139111,997.1648676,11,4%,E7,N,,0.01,-1.899007329
126,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,126,MIS3,0.2,0.140232305,0.56980057,0.56980057,0,0,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_12_concentration.csv,749.9617887,1063.226013,12,4%,E7,N,,0.01,1.083424393
127,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,127,MIS3,0.1,0.118168694,0,0,3,3,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_13_concentration.csv,1353.45695,1145.360001,13,4%,E7,N,,0.01,-14.82065245
128,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,128,MIS3,0.2,0.184606843,3,3,9,9,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_14_concentration.csv,746.7598558,813.887904,14,4%,E7,N,,3.01,33.06985047
129,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,129,MIS3,0.1,0.103210222,9,9,10.2,10.2,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_15_concentration.csv,1310.583235,1254.643195,15,4%,E7,N,,9.01,-25.6031435
130,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,130,MIS3,0.2,0.177840823,10.2,10.2,25.5,25.5,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_16_concentration.csv,772.1063456,868.3232147,16,4%,E7,N,,10.21,28.19271127
131,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,131,MIS3,0.1,0.106303772,25.5,25.5,8.5,8.5,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_17_concentration.csv,1440.723413,1348.981747,17,4%,E7,N,,8.51,-23.37322488
132,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,132,MIS3,0.2,0.185523986,8.5,8.5,17,17,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_18_concentration.csv,677.0601759,741.9506225,18,4%,E7,N,,8.51,33.73095316
133,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,133,MIS3,0.2,0.171415961,17,17,25.35612536,25.35612536,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_19_concentration.csv,657.4382128,767.0806915,19,4%,E7,N,,17.01,23.56148844
134,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,134,MIS3,0.1,0.104975214,25.35612536,25.35612536,0,0,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_20_concentration.csv,1389.464944,1304.436083,20,4%,E7,N,,0.01,-24.33088718
135,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,135,MIS3,0.2,0.130208947,0,0,50.71225071,50.71225071,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_21_concentration.csv,896.4205699,1211.922396,21,4%,E7,Y,,0.01,-6.141696456
136,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,136,MIS3,0.1,0.102731606,50.71225071,50.71225071,18.51851852,18.51851852,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_22_concentration.csv,1419.873785,1379.948885,22,4%,E7,N,,18.52851852,-25.94814349
137,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,137,MIS3,0.2,0.189306286,18.51851852,18.51851852,17,17,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_23_concentration.csv,797.7899713,835.7762376,23,4%,E7,N,,17.01,36.45734232
138,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,139,MIS3,0.2,0.17497977,17,17,1,1,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_25_concentration.csv,699.7179967,804.8852722,24,4%,E7,N,,1.01,26.13038309
139,G:\BackUp_Data\MIS3\20150321\transformed,9,E9,140,MIS3,0.1,0.104787821,1,1,,,G:\BackUp_Data\MIS3\20150321\transformed\drop_00_26_concentration.csv,1311.079744,1261.852509,25,4%,E7,N,,1.01,-24.46596538
141,G:\BackUp_Data\MIS2\20150401\transformed,10,E5,70,MIS2,0.1,0.128509381,,,265,252,G:\BackUp_Data\MIS2\20150401\transformed\drop_00_02_concentration.csv,1623.290246,1267.243078,2,Air+2%,E5,N,,252.01,-6.569440511
142,G:\BackUp_Data\MIS2\20150401\transformed,10,E5,71,MIS2,0.2,0.141271038,265,252,222,214,G:\BackUp_Data\MIS2\20150401\transformed\drop_00_03_concentration.csv,1434.700962,1979.243689,3,Air+2%,E5,NY,,214.01,2.708705132
143,G:\BackUp_Data\MIS2\20150401\transformed,10,E5,72,MIS2,0.1,0.140768583,222,214,208,208,G:\BackUp_Data\MIS2\20150401\transformed\drop_00_04_concentration.csv,1401.581769,1040.298614,4,Air+2%,E5,Y,,208.01,2.343403772
144,G:\BackUp_Data\MIS2\20150401\transformed,10,E5,73,MIS2,0.2,0.149658656,208,208,184,184,G:\BackUp_Data\MIS2\20150401\transformed\drop_00_05_concentration.csv,1466.292818,1882.553845,5,Air+2%,E5,Y,,184.01,8.806780124
145,G:\BackUp_Data\MIS2\20150401\transformed,10,E5,74,MIS2,0.1,0.139124205,184,184,193,190,G:\BackUp_Data\MIS2\20150401\transformed\drop_00_06_concentration.csv,1436.040852,1077.37569,6,Air+2%,E5,Y,,184.01,1.147886718
146,G:\BackUp_Data\MIS2\20150401\transformed,10,E5,75,MIS2,0.2,0.14638197,193,190,161,161,G:\BackUp_Data\MIS2\20150401\transformed\drop_00_07_concentration.csv,1027.48877,1357.355998,7,Air+2%,E5,Y,,161.01,6.424521305
147,G:\BackUp_Data\MIS2\20150401\transformed,10,E5,76,MIS2,0.2,0.140285591,201,263,110,110,G:\BackUp_Data\MIS2\20150401\transformed\drop_00_09_concentration.csv,906.3494806,1210.03677,9,Air+2%,E5,Y,,110.01,1.992252654
148,G:\BackUp_Data\MIS2\20150401\transformed,10,E5,77,MIS2,0.1,0.132187151,110,110,112,112,G:\BackUp_Data\MIS2\20150401\transformed\drop_00_10_concentration.csv,1487.185456,1146.846252,10,Air+2%,E5,Y,,110.01,-3.895580392
149,G:\BackUp_Data\MIS2\20150401\transformed,10,E5,78,MIS2,0.2,0.139657128,112,112,92,92,G:\BackUp_Data\MIS2\20150401\transformed\drop_00_11_concentration.csv,1117.109507,1509.808589,11,Air+2%,E5,Y,,92.01,1.53533932
150,G:\BackUp_Data\MIS2\20150401\transformed,10,E5,79,MIS2,0.1,0.125509889,92,92,155,155,G:\BackUp_Data\MIS2\20150401\transformed\drop_00_12_concentration.csv,1569.10615,1300.246556,12,Air+2%,E5,NY,,92.01,-8.750170148
151,G:\BackUp_Data\MIS2\20150401\transformed,10,E5,80,MIS2,0.2,0.13529587,155,155,216,216,G:\BackUp_Data\MIS2\20150401\transformed\drop_00_13_concentration.csv,1172.190004,1577.979055,13,Air+2%,E5,Y,,155.01,-1.635439123
152,G:\BackUp_Data\MIS2\20150401\transformed,10,E5,81,MIS2,0.1,0.128239993,216,216,159,159,G:\BackUp_Data\MIS2\20150401\transformed\drop_00_14_concentration.csv,1939.674282,1557.447176,14,Air+2%,E5,Y,,159.01,-6.765294474
153,G:\BackUp_Data\MIS2\20150401\transformed,10,E5,82,MIS2,0.2,0.141199969,159,159,,,G:\BackUp_Data\MIS2\20150401\transformed\drop_00_15_concentration.csv,445.8066583,560.9983889,15,Air+2%,E5,Y,,159.01,2.657035625
